PC1_3d,PC2_3d,PC3_3d,cluster
-14171.500026307938,-0.74551435456533,-2.6552077969327827,1
-14170.50003832068,-0.6472699296760434,-2.7864958330689658,1
-14169.500029943425,-0.5311816539455343,-2.80105396634833,1
-14168.500051102705,-0.5112564599268342,-2.890587820364967,1
-14167.500034944209,-0.4754316905779597,-2.8354055384615835,1
-14166.500027711003,-0.580166661414041,-2.7833953547620367,1
-14165.500039963918,-0.3521997934041277,-2.9232083150768013,1
-14164.50003721627,-0.36717419630673204,-2.782012168783086,1
-14163.499998503794,-0.6393847377570742,-2.347245822630418,1
-14162.500014480327,-0.35652691531182873,-2.7584062225557537,1
-14161.500015361878,-0.4193134084165973,-2.7118682800475713,1
-14160.499990065884,-0.28416525891321753,-2.6833992292711724,1
-14159.500001215827,-0.31955893665456464,-2.821521741202007,1
-14158.499997619712,-0.4213080861617291,-2.8265275390998483,1
-14157.500006231041,-0.3761546637575449,-2.7881442510688994,1
-14156.500026105192,-0.3710940436653335,-2.8640552335883176,1
-14155.500004762602,-0.5369290090640463,-2.9659812974231694,1
-14154.49999025782,-0.8724140214476708,-1.48040043355106,1
-14153.499823924614,-0.5917343642456339,-1.8101782011794458,1
-14152.499953077999,-1.0094138549053095,-1.5150698838752976,1
-14151.499960258609,-1.0882455887503866,-1.274945278680793,1
-14150.499983463445,-1.075221689984978,-1.1968831013767216,1
-14149.49996009308,-0.9128674458697872,-1.4397347827453584,1
-14148.499905684908,-0.9943408734890422,-1.649715677165492,1
-14147.49990675848,-1.1675033049994148,-1.513948145374537,1
-14146.49990021212,-1.0341022711623473,-1.7077613194911778,1
-14145.499881217567,-0.9909998181923169,-1.7053771365333659,1
-14144.499854925798,-1.1586239768578244,-1.5754886526102756,1
-14143.499843862031,-1.1103699956228916,-1.6185539428797495,1
-14142.4998786158,-1.1457864688632222,-1.5393377377079578,1
-14141.499916539591,-1.3234580292075413,-1.2729170521300281,1
-14140.499858620933,-1.1694749169615055,-1.5479523751018873,1
-14139.499839237853,-1.1085524540247684,-1.5537403393358211,1
-14138.499864767375,-1.1050090243754653,-1.8030188685298834,1
-14137.499880908825,-1.0440984880514994,-1.8806476685495208,1
-14136.499917492107,-0.9363020553424837,-2.1362309004891045,1
-14135.499901482917,-1.2009015440070436,-1.9160338183146193,1
-14134.499920750284,-1.2366494037921831,-1.6951122847654596,1
-14133.499991785053,-1.0622441697708518,-2.9224401146999717,1
-14132.499967018575,-0.9984060392745121,-2.69423594449601,1
-14131.499939291949,-1.040445569285832,-2.807052309067995,1
-14130.499918705833,-0.933553795238375,-2.8501433058718635,1
-14129.499931560078,-0.9028286698144605,-2.779607014109144,1
-14128.499937253335,-0.7365830210172903,-2.9753707563828904,1
-14127.499948736448,-0.7537715858892096,-2.843838559531327,1
-14126.499977440166,-0.789928979573858,-2.8768635789946186,1
-14125.49999066186,-0.6536578524515905,-2.9853706002989298,1
-14124.499984650276,-0.7179742721190877,-2.833008824457731,1
-14123.499996684495,-0.6531380552171668,-2.8651760980366823,1
-14122.500007162402,-0.5248000951139383,-3.1464073897112668,1
-14121.500017952578,-0.47635526818512464,-3.163621518750257,1
-14120.50002769164,-0.30406847824467276,-3.310186895252005,1
-14119.500014359219,-0.24838823593215403,-3.343668151668506,1
-14118.499993974177,-0.2279904212133753,-2.966931821549969,1
-14117.500018373878,-0.25705146181699784,-3.3694393664777618,1
-14116.500015225536,-0.2631032718624731,-3.349028961541458,1
-14115.49998927422,-0.3178802990330981,-3.2189519611127566,1
-14114.49999712741,-0.3326245766277591,-3.039502926533735,1
-14113.499992674875,-0.21919899654327515,-3.2779678169150226,1
-14112.50000027759,-0.10877396365015962,-3.3430910967844927,1
